round,id,LiTFSI,FEC,MDFA,TFB,ssip,cip,agg
Round 0,1,0.0989,0.0,0.9011,0.0,0.2939,0.5425,0.1636
Round 0,2,0.1018,0.0,0.7484,0.1498,0.1846,0.5459,0.2695
Round 0,3,0.1045,0.0,0.597,0.2985,0.1313,0.5178,0.3519
Round 0,4,0.1017,0.0,0.6737,0.2246,0.1608,0.5328,0.3064
Round 0,5,0.1021,0.0,0.6427,0.2552,0.1477,0.5372,0.3151
Round 0,6,0.0536,0.0,0.7886,0.1577,0.2379,0.6142,0.1479
Round 0,7,0.0536,0.0,0.7098,0.2365,0.2142,0.6297,0.1561
Round 0,8,0.0538,0.0,0.6773,0.269,0.2181,0.6089,0.173
Round 0,9,0.0507,0.0,0.9493,0.0,0.3329,0.5743,0.0928
Round 0,10,0.0538,0.0,0.5696,0.3766,0.1603,0.6018,0.238
Round 0,11,0.0538,0.0,0.5411,0.4051,0.1351,0.5907,0.2742
Round 0,13,0.0582,0.1576,0.7842,0.0,0.4062,0.4901,0.1036
Round 0,14,0.0506,0.1587,0.7906,0.0,0.5879,0.373,0.0391
Round 0,20,0.0505,0.3174,0.6321,0.0,0.7319,0.2582,0.0099
Round 0,21,0.0966,0.3393,0.5642,0.0,0.5407,0.3927,0.0665
Round 0,25,0.0507,0.3564,0.5929,0.0,0.7539,0.232,0.0141
Round 0,35,0.0992,0.5644,0.1111,0.2254,0.5526,0.3989,0.0485
Round 0,36,0.0992,0.5643,0.2253,0.1113,0.5969,0.3525,0.0506
Round 0,Y2,0.1241,0.3004,0.1376,0.4379,0.1767,0.4715,0.3518
Round 1,1,0.05,0.2777,0.6717,0.0006,0.6879,0.2989,0.0133
Round 1,2,0.05,0.2596,0.6864,0.0039,0.6857,0.2873,0.0269
Round 1,3,0.05,0.2818,0.653,0.0151,0.6858,0.3,0.0146
Round 1,4,0.0504,0.264,0.6673,0.0183,0.66,0.3173,0.0227
Round 1,5,0.05,0.2687,0.6481,0.0331,0.6956,0.2858,0.0186
Round 2,1,0.05,0.298,0.652,0.0,0.6945,0.2897,0.0158
Round 2,2,0.05,0.29,0.66,0.0,0.6895,0.2904,0.0201
Round 2,3,0.05,0.306,0.644,0.0,0.7064,0.2753,0.0183
Round 2,4,0.0504,0.2823,0.6671,0.0002,0.6816,0.2979,0.0206
Round 2,5,0.05,0.314,0.636,0.0,0.7281,0.259,0.0129
