round,n,best_cip,best_agg,mae_cip,mae_agg,seed
0,10,0.7109817772551458,0.389001656313049,0.015149198187291078,0.017090551307721972,1
1,14,0.7634912415591829,0.414985268621816,0.0135422518585777,0.019447621638110382,1
2,18,0.7634912415591829,0.4325235199454052,0.01101582105406878,0.018054455559487,1
3,22,0.7634912415591829,0.4325235199454052,0.010675802969312647,0.013941621606247732,1
4,26,0.7634912415591829,0.4410767223214896,0.009954093507788283,0.008559736637644332,1
5,30,0.7634912415591829,0.44970071436712195,0.00881194709449498,0.008438473340046963,1
0,10,0.6765308197772305,0.4051832734111239,0.028298548285498003,0.014290723952250488,2
1,14,0.7564382935246271,0.41524034858796005,0.01668516192780998,0.01291189350020487,2
2,18,0.7750610050121769,0.41524034858796005,0.017386818565049495,0.006480552212260331,2
3,22,0.7750610050121769,0.4418454659829956,0.012090308072032412,0.007353503769770822,2
4,26,0.7750610050121769,0.4426429331746729,0.011170059433958861,0.005155047403737858,2
5,30,0.7750610050121769,0.4466679746075437,0.013884730132321886,0.0069477070333186655,2
0,10,0.6590022234557834,0.3785039718911075,0.018504493747911476,0.038638780483459756,3
1,14,0.7617510508343797,0.3785039718911075,0.017130595752659693,0.023188125094095825,3
2,18,0.7617510508343797,0.41342867633879743,0.012356896082569752,0.024346927011489404,3
3,22,0.7617510508343797,0.41342867633879743,0.010389744360204735,0.019247503303209828,3
4,26,0.7617510508343797,0.41342867633879743,0.010693215040309097,0.02056816148590884,3
5,30,0.7762910565737898,0.4360879759312992,0.01039343612216721,0.013721113730645454,3
